#DR2Name,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,RPlx,pmRA,e_pmRA,pmDE,e_pmDE,NgAL,chi2AL,Nper,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff_1,AG,E(BP-RP),Rad,Lum,RAJ2000_1,DEJ2000_1,SPOCS,Name,Teff_2,logg,[M/H],S,logRhk,Vbr,Vsini,Vmac,Vrad,SNR,Crms,Lrms,N,[Fe/H],RAJ2000_2,DEJ2000_2,Vmag,Dist,logL,Rstar,Mstar,Miso,logg2,Age,CCat,Simbad,recno,Separation
Gaia DR2 96331172942614528,25.62263,0.1289,20.265613,0.1317,9.63311729426145E+16,131.4903,0.1515,867.6596,-301.592,0.294,-674.505,0.282,147,3698.92,10,0,193850000,605180.0,4.9697,0.0034,90179000,321950.0,5.4636,0.0039,132860000,1147900.0,4.4534,0.0094,1.0102,-33.58,0.17,5489.33,0.0387,0.021,0.74,0.453,25.624015,20.268517,95,HD 10476,5190,4.51,-0.03,0.19,-4.93,1.7,0.1,2.0,-35.1,386,0.01,0.02,5,-0.03,01 42 29.8,+20 16 07,5.24,7.53,-0.36,0.81,0.78,0.84,4.54,8.1,1,Simbad,34,0.6141052661839820
Gaia DR2 4025850731201819392,175.262503,0.1189,34.199993,0.0921,4.02585073120182E+18,104.3904,0.1287,811.3371,-12.247,0.222,-381.257,0.183,172,3425.36,10,0,174740000,367710.0,5.0824,0.0023,86628000,221200.0,5.5072,0.0028,115480000,512740.0,4.6057,0.0048,0.9016,-5.6,0.41,5573.67,0.0188,0.009,0.86,0.643,175.262566,34.201634,500,HD 101501,5502,4.52,-0.07,0.31,-4.54,3.5,2.2,2.6,-6.4,265,0.01,0.01,1,-0.04,11 41 03.0,+34 12 06,5.31,9.61,-0.21,0.86,0.9,0.93,4.53,3.5,2,Simbad,215,0.22901121298128900
Gaia DR2 798068905726303232,143.910735,0.1755,35.809017,0.1678,7.98068905726303E+17,89.2581,0.1928,463.0412,-726.201,0.287,-259.506,0.292,142,2416.43,9,0,162270000,290560.0,5.1628,0.0019,78631000,194030.0,5.6124,0.0027,107450000,455750.0,4.6839,0.0046,0.9285,14.39,0.17,5661.0,0.125,0.073,0.94,0.811,143.914591,35.810134,2740,HD 82885,5499,4.44,0.27,0.24,-4.74,3.9,2.8,2.6,13.3,268,0.01,0.01,1,0.3,09 35 39.5,+35 48 36,5.4,11.37,-0.11,0.97,0.95,1.0,4.46,4.1,0,Simbad,1111,0.48291897600615100
Gaia DR2 746545172372256384,150.250054,0.1282,31.921822,0.1126,7.46545172372256E+17,66.9958,0.2141,312.884,-528.807,0.274,-429.627,0.207,140,2107.78,9,0,160330000,298740.0,5.1759,0.002,82170000,174690.0,5.5646,0.0023,102820000,631780.0,4.7317,0.0067,0.8329,56.01,0.17,5832.0,0.2752,0.1337,1.16,1.406,150.252737,31.923671,436,HD 86728,5742,4.31,0.2,0.15,-5.09,4.2,2.4,3.4,56.0,377,0.01,0.01,3,0.2,10 01 00.7,+31 55 25,5.37,15.05,0.13,1.18,1.04,1.09,4.33,4.9,1,Simbad,189,0.5897928501073830
Gaia DR2 1333760419707327744,260.165557,0.0774,32.463262,0.0749,1.33376041970733E+18,68.7539,0.0904,760.2722,135.731,0.162,-1040.913,0.16,303,6965.86,18,0,159760000,270650.0,5.1797,0.0018,82823000,143870.0,5.556,0.0019,101800000,417430.0,4.7426,0.0045,0.8134,-78.43,0.16,5830.0,0.1335,0.064,1.13,1.331,260.164865,32.467744,748,HD 157214,5817,4.61,-0.26,0.16,-5.0,3.0,0.1,3.7,-82.7,312,0.01,0.01,2,-0.35,17 20 39.6,+32 28 04,5.38,14.33,0.09,1.1,1.79,0.96,4.35,8.0,1,Simbad,288,0.42768604181228200
Gaia DR2 974887555341533440,108.959104,0.0733,47.239163,0.0729,9.74887555341534E+17,59.287,0.1222,485.006,30.07,0.154,-186.405,0.119,217,2272.54,10,0,134340000,168130.0,5.3678,0.0014,72023000,174230.0,5.7077,0.0026,85690000,294150.0,4.9296,0.0037,0.7781,85.01,0.14,5912.67,0.0927,0.0463,1.17,1.498,108.958913,47.239966,2689,HD 55575,5888,4.32,-0.27,0.16,-5.0,4.0,0.1,4.0,85.1,311,0.01,0.01,2,-0.29,07 15 50.1,+47 14 24,5.54,16.89,0.17,1.16,1.02,0.97,4.31,7.6,1,Simbad,1061,0.4167743016249100
Gaia DR2 512167948043650816,26.942493,0.0439,63.851442,0.0452,5.12167948043651E+17,99.5746,0.0595,1672.9828,582.028,0.07,-246.228,0.086,362,2568.04,17,0,132510000,142550.0,5.3827,0.0012,64501000,87512.0,5.8275,0.0015,91168000,176680.0,4.8623,0.0021,0.9652,2.67,0.13,5350.0,0.126,0.063,0.86,0.549,26.936807,63.852502,99,HD 10780,5344,4.54,0.01,0.26,-4.71,2.5,0.8,2.3,2.3,268,0.01,0.01,1,0.04,01 47 44.8,+63 51 09,5.63,10.07,-0.28,0.84,0.89,0.9,4.54,4.4,1,Simbad,37,0.2227496963705730
Gaia DR2 1995681125599758592,349.177073,0.0703,53.212456,0.078,1.99568112559976E+18,48.661,0.0913,533.2128,112.891,0.144,-236.852,0.148,258,3612.92,14,0,126940000,203980.0,5.4294,0.0017,70169000,160520.0,5.736,0.0025,77696000,322100.0,5.0359,0.0045,0.7001,-27.05,0.16,6148.33,0.2185,0.111,1.27,2.084,349.176262,53.213476,3223,HD 219623,6059,4.21,0.09,0.15,-5.01,7.2,4.7,5.1,-26.8,248,0.01,0.01,1,0.11,23 16 42.3,+53 12 49,5.58,20.5,0.3,1.28,0.96,1.19,4.31,2.8,1,Simbad,1591,0.48708746484440600
Gaia DR2 2552925644460225152,12.099002,0.0897,5.275698,0.0526,2.55292564446022E+18,134.499,0.089,1511.3584,755.561,0.212,-1141.745,0.104,375,2577.66,11,0,125520000,117400.0,5.4415,0.001,57283000,52902.0,5.9563,0.001,92528000,143930.0,4.8462,0.0017,1.1101,-10.41,0.15,5013.5,0.132,0.0717,0.73,0.302,12.095735,5.280614,40,HD 4628,4937,4.54,-0.22,0.19,-4.96,2.1,0.7,1.7,-7.5,296,0.01,0.02,5,-0.25,00 48 23.0,+05 16 50,5.74,7.45,-0.53,0.74,0.69,0.75,4.6,11.4,1,Simbad,13,0.4105151889678140
Gaia DR2 1092545710514654464,129.798491,0.0293,65.021285,0.0608,1.09254571051465E+18,69.2004,0.0652,1060.887,-27.158,0.058,87.546,0.112,556,7029.87,18,0,121210000,96856.0,5.4796,9E-04,64156000,91578.0,5.8333,0.0015,77860000,153540.0,5.0336,0.0021,0.7997,-13.01,0.16,5839.33,0.0325,0.0255,0.98,0.996,129.798768,65.020908,2720,HD 72905,5866,4.5,-0.03,0.41,-4.32,11.0,9.6,3.9,-13.3,305,0.01,0.01,1,0.02,08 39 11.7,+65 01 15,5.63,14.36,-0.02,0.95,1.04,1.04,4.48,1.3,1,Simbad,1092,0.2701892729842960